route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
"100016","SATURDAY","24664824","TAHLEQUAH","LOCAL",0,"3381242","21118333"
"100016","SATURDAY","24664825","TAHLEQUAH","LOCAL",0,"3381242","21118333"
"100016","SATURDAY","24664826","TAHLEQUAH","LOCAL",0,"3381242","21118333"
"100016","SATURDAY","24664827","TAHLEQUAH","LOCAL",0,"3381242","21118333"
"100016","SATURDAY","24664828","BURTON","LOCAL",0,"3381242","21118355"
"100016","SATURDAY","24664829","BURTON","LOCAL",0,"3381242","21118355"
"100016","SATURDAY","24664830","BURTON","LOCAL",0,"3381242","21118355"
"100016","SATURDAY","24664831","BURTON","LOCAL",0,"3381242","21118355"
"100016","SATURDAY","24664833","FERRY TERMINAL, VIA SHUTTLE","LOCAL",1,"3381242","10118351"
"100016","SATURDAY","24664834","FERRY TERMINAL, VIA SHUTTLE","LOCAL",1,"3381242","10118351"
"100016","SATURDAY","24664835","FERRY TERMINAL, VIA SHUTTLE","LOCAL",1,"3381242","10118351"
"100016","SATURDAY","24664836","FERRY TERMINAL, VIA SHUTTLE","LOCAL",1,"3381242","10118351"
"100016","SATURDAY","24664837","FERRY TERMINAL, VIA SHUTTLE","LOCAL",1,"3381242","10118353"
"100016","SATURDAY","24664838","FERRY TERMINAL, VIA SHUTTLE","LOCAL",1,"3381242","10118353"
"100016","SATURDAY","24664839","FERRY TERMINAL, VIA SHUTTLE","LOCAL",1,"3381242","10118353"
"100265","SATURDAY","24664707","WEDGWOOD, UNIVERSITY DISTRICT","EXPRESS",0,"3381243","11071624"
"100265","SATURDAY","24664709","WEDGWOOD, UNIVERSITY DISTRICT","LOCAL",0,"3381243","11071622"
"100266","SATURDAY","24664710","LAKE CITY, UNIVERSITY DISTRICT","LOCAL",0,"3381243","11072273"
"100266","SATURDAY","24664711","DOWNTOWN SEATTLE, UNIVERSITY DISTRICT","LOCAL",1,"3381243","20072277"
"100265","SATURDAY","24664712","WEDGWOOD, UNIVERSITY DISTRICT","LOCAL",0,"3381243","11071622"
"100266","SATURDAY","24664719","LAKE CITY, UNIVERSITY DISTRICT","LOCAL",0,"3381243","11072273"
"100266","SATURDAY","24664720","DOWNTOWN SEATTLE, UNIVERSITY DISTRICT","EXPRESS",1,"3381243","20072278"
"100265","SATURDAY","24664723","WEDGWOOD, UNIVERSITY DISTRICT","EXPRESS",0,"3381243","11071623"
"100265","SATURDAY","24664724","DOWNTOWN SEATTLE, UNIVERSITY DISTRICT","EXPRESS",1,"3381243","20071628"
"100265","SATURDAY","24664737","DOWNTOWN SEATTLE, UNIVERSITY DISTRICT","LOCAL",1,"3381243","20071627"
"100265","SATURDAY","24664739","DOWNTOWN SEATTLE, UNIVERSITY DISTRICT","LOCAL",1,"3381243","20071627"
"100265","SATURDAY","24664743","DOWNTOWN SEATTLE, UNIVERSITY DISTRICT","LOCAL",1,"3381243","20071626"
"100267","SATURDAY","24664761","JACKSON PARK","EXPRESS",0,"3381243","11073288"
"100267","SATURDAY","24664762","DOWNTOWN SEATTLE","EXPRESS",1,"3381243","20073293"
"100267","SATURDAY","24664772","DOWNTOWN SEATTLE, UNIVERSITY DISTRICT","LOCAL",1,"3381243","20073292"
"100266","SATURDAY","24664783","LAKE CITY, UNIVERSITY DISTRICT","EXPRESS",0,"3381243","11072275"
"100266","SATURDAY","24664784","DOWNTOWN SEATTLE, UNIVERSITY DISTRICT","EXPRESS",1,"3381243","20072278"
"100265","SATURDAY","24664708","WEDGWOOD, UNIVERSITY DISTRICT","LOCAL",0,"3381244","11071622"
"100266","SATURDAY","24664713","LAKE CITY, UNIVERSITY DISTRICT","EXPRESS",0,"3381244","11072274"
"100266","SATURDAY","24664714","DOWNTOWN SEATTLE, UNIVERSITY DISTRICT","EXPRESS",1,"3381244","20072278"
"100265","SATURDAY","24664730","WEDGWOOD, UNIVERSITY DISTRICT","LOCAL",0,"3381244","11071622"
"100265","SATURDAY","24664732","WEDGWOOD, UNIVERSITY DISTRICT","LOCAL",0,"3381244","11071621"
"100265","SATURDAY","24664735","DOWNTOWN SEATTLE, UNIVERSITY DISTRICT","LOCAL",1,"3381244","20071627"
"100265","SATURDAY","24664742","DOWNTOWN SEATTLE, UNIVERSITY DISTRICT","LOCAL",1,"3381244","20071625"
"100265","SATURDAY","24664755","WEDGWOOD, UNIVERSITY DISTRICT","EXPRESS",0,"3381244","11071623"
"100266","SATURDAY","24664756","LAKE CITY, UNIVERSITY DISTRICT","LOCAL",0,"3381244","11072273"
"100267","SATURDAY","24664767","JACKSON PARK","EXPRESS",0,"3381244","11073289"
"100267","SATURDAY","24664768","DOWNTOWN SEATTLE","EXPRESS",1,"3381244","20073293"
"100267","SATURDAY","24664778","JACKSON PARK","EXPRESS",0,"3381244","11073288"
"100267","SATURDAY","24664779","DOWNTOWN SEATTLE","EXPRESS",1,"3381244","20073293"
"100266","SATURDAY","24664785","DOWNTOWN SEATTLE, UNIVERSITY DISTRICT","LOCAL",1,"3381244","20072277"
"100265","SATURDAY","24664786","DOWNTOWN SEATTLE, UNIVERSITY DISTRICT","EXPRESS",1,"3381244","20071628"
"100266","SATURDAY","24664787","DOWNTOWN SEATTLE, UNIVERSITY DISTRICT","LOCAL",1,"3381244","20072277"
"100267","SATURDAY","24664793","JACKSON PARK, UNIVERSITY DISTRICT","LOCAL",0,"3381244","11073287"
"100267","SATURDAY","24664794","DOWNTOWN SEATTLE, UNIVERSITY DISTRICT","LOCAL",1,"3381244","20073292"
"100266","SATURDAY","24664705","LAKE CITY, UNIVERSITY DISTRICT","EXPRESS",0,"3381245","11072274"
"100266","SATURDAY","24664706","DOWNTOWN SEATTLE, UNIVERSITY DISTRICT","EXPRESS",1,"3381245","20072278"
"100265","SATURDAY","24664727","WEDGWOOD, UNIVERSITY DISTRICT","EXPRESS",0,"3381245","11071624"
"100265","SATURDAY","24664728","WEDGWOOD, UNIVERSITY DISTRICT","LOCAL",0,"3381245","11071622"
"100266","SATURDAY","24664731","LAKE CITY, UNIVERSITY DISTRICT","LOCAL",0,"3381245","11072272"
"100265","SATURDAY","24664738","DOWNTOWN SEATTLE, UNIVERSITY DISTRICT","LOCAL",1,"3381245","20071627"
"100265","SATURDAY","24664740","DOWNTOWN SEATTLE, UNIVERSITY DISTRICT","LOCAL",1,"3381245","20071627"
"100265","SATURDAY","24664750","WEDGWOOD, UNIVERSITY DISTRICT","EXPRESS",0,"3381245","11071623"
"100265","SATURDAY","24664751","DOWNTOWN SEATTLE, UNIVERSITY DISTRICT","EXPRESS",1,"3381245","20071628"
"100266","SATURDAY","24664752","LAKE CITY, UNIVERSITY DISTRICT","EXPRESS",0,"3381245","11072275"
"100266","SATURDAY","24664753","DOWNTOWN SEATTLE, UNIVERSITY DISTRICT","EXPRESS",1,"3381245","20072278"
"100267","SATURDAY","24664763","JACKSON PARK","EXPRESS",0,"3381245","11073288"
"100267","SATURDAY","24664764","DOWNTOWN SEATTLE","EXPRESS",1,"3381245","20073293"
"100267","SATURDAY","24664771","JACKSON PARK, UNIVERSITY DISTRICT","LOCAL",0,"3381245","11073287"
"100267","SATURDAY","24664776","JACKSON PARK, UNIVERSITY DISTRICT","LOCAL",0,"3381245","11073287"
"100267","SATURDAY","24664777","DOWNTOWN SEATTLE, UNIVERSITY DISTRICT","LOCAL",1,"3381245","20073290"
"100267","SATURDAY","24664792","DOWNTOWN SEATTLE, UNIVERSITY DISTRICT","LOCAL",1,"3381245","20073292"
"100265","SATURDAY","24664715","WEDGWOOD, UNIVERSITY DISTRICT","LOCAL",0,"3381246","11071622"
"100266","SATURDAY","24664721","LAKE CITY, UNIVERSITY DISTRICT","EXPRESS",0,"3381246","11072274"
"100266","SATURDAY","24664722","DOWNTOWN SEATTLE, UNIVERSITY DISTRICT","EXPRESS",1,"3381246","20072278"
"100265","SATURDAY","24664725","WEDGWOOD, UNIVERSITY DISTRICT","EXPRESS",0,"3381246","11071624"
"100265","SATURDAY","24664726","DOWNTOWN SEATTLE, UNIVERSITY DISTRICT","EXPRESS",1,"3381246","20071628"
"100265","SATURDAY","24664736","DOWNTOWN SEATTLE, UNIVERSITY DISTRICT","LOCAL",1,"3381246","20071627"
"100266","SATURDAY","24664754","DOWNTOWN SEATTLE, UNIVERSITY DISTRICT","LOCAL",1,"3381246","20072277"
"100267","SATURDAY","24664765","JACKSON PARK","EXPRESS",0,"3381246","11073288"
"100267","SATURDAY","24664766","DOWNTOWN SEATTLE","EXPRESS",1,"3381246","20073293"
"100267","SATURDAY","24664774","JACKSON PARK","EXPRESS",0,"3381246","11073289"
"100267","SATURDAY","24664775","DOWNTOWN SEATTLE","EXPRESS",1,"3381246","20073293"
